,Rooms,Material,Total area,Live area,Kitchen,Toilet type,Price,Floor,TotalFloor
201,1,14,40.0,20.0,10.0,7,5690,8.0,25.0
202,1,14,38.3,17.9,11.6,8,5700,12.0,14.0
203,1,14,43.0,23.5,8.1,7,5750,9.0,10.0
204,1,15,48.3,19.2,13.8,8,5886,9.0,11.0
205,1,15,44.0,0.0,10.0,7,5951,3.0,8.0
206,1,15,44.0,21.2,12.0,7,5990,9.0,14.0
207,1,15,52.2,18.3,15.3,7,6020,7.0,13.0
208,1,15,60.2,51.8,0.0,2,6140,6.0,11.0
209,1,15,41.0,19.0,11.0,8,6180,7.0,16.0
210,1,14,41.2,17.1,10.2,8,6200,4.0,13.0
211,1,15,51.7,15.7,19.1,8,6234,6.0,11.0
212,1,15,52.0,16.0,20.0,7,6300,9.0,10.0
213,1,15,49.0,16.0,18.0,8,6300,6.0,10.0
214,1,15,38.4,17.4,9.4,5,6400,7.0,13.0
215,1,15,42.0,20.0,9.0,7,6500,5.0,16.0
216,1,14,41.0,18.0,10.0,8,6700,9.0,16.0
217,1,14,56.0,20.0,12.0,7,6750,8.0,16.0
218,1,14,51.0,25.0,15.0,7,6800,6.0,14.0
219,1,27,50.0,32.0,8.0,8,7000,5.0,5.0
220,1,15,45.0,20.0,10.0,7,7200,8.0,16.0
221,1,14,47.0,17.7,10.0,8,8500,13.0,13.0
222,1,14,46.3,20.9,11.8,8,8600,8.0,17.0
223,1,15,73.0,17.2,26.0,0,9309,5.0,9.0
224,1,14,60.0,16.0,32.0,8,12500,13.0,14.0
225,2,26,39.4,26.4,5.5,4,2750,1.0,4.0
226,2,14,32.6,26.4,0.0,8,3200,5.0,9.0
227,2,2,37.5,19.2,9.4,7,3950,1.0,12.0
228,2,26,40.8,23.6,8.6,2,4000,4.0,4.0
229,2,27,38.0,23.5,7.5,8,4000,1.0,4.0
230,2,14,44.5,27.0,5.5,7,4050,5.0,5.0
231,2,27,43.0,26.0,7.0,7,4100,1.0,6.0
232,2,14,41.0,26.0,6.0,7,4370,4.0,5.0
233,2,26,36.0,25.0,8.0,8,4500,1.0,5.0
234,2,14,45.8,24.0,7.1,7,4750,3.0,9.0
235,2,26,55.0,28.0,16.0,7,4900,1.0,5.0
236,2,2,48.0,28.0,8.0,5,5000,2.0,9.0
237,2,26,51.0,26.0,11.0,7,5000,6.0,6.0
238,2,23,54.0,26.0,7.5,7,5100,2.0,9.0
239,2,27,56.0,39.0,6.0,3,5100,2.0,5.0
240,2,14,53.2,30.0,8.1,7,5190,5.0,13.0
241,2,27,61.0,34.0,6.0,7,5290,4.0,4.0
